name;bestcore;mameversion
"gunbird2";lr-fbalpha;
"gundamex";lr-fbalpha;
"gundhara";lr-fbalpha;
"gundl94";lr-fbalpha;
"gunfight";lr-mame;
"gunforc2";lr-mame;2003
"gunforceu";lr-mame;2003
"gunfront";lr-fbalpha;
"gunlock";lr-fbalpha;
"gunmast";lr-fbalpha;
"gunnail";lr-fbalpha;
"gunsmokeu";lr-fbalpha;
"gutsn";lr-fbalpha;
"guwange";lr-fbalpha;
"guzzler";lr-fbalpha;
"gwar";lr-fbalpha;
"gwarrior";lr-fbalpha;
"gypsyjug";lr-mame;
"gyrodine";lr-fbalpha;
"gyruss";lr-fbalpha;
"hachamfb";lr-fbalpha;
"hachoo";lr-fbalpha;
"hal21";lr-fbalpha;
"halleys";lr-mame;
"hamaway";lr-fbalpha;
"hanagumi";lr-mame;
"hangon";lr-fbalpha;
"hangonjr";lr-fbalpha;
"hangzo";lr-fbalpha;
"happy6";lr-fbalpha;
"harddriv";lr-mame;
"harddunk";lr-mame;
"hardhat";lr-mame;
"hardhea2";lr-fbalpha;
"hardhead";lr-fbalpha;
"hardyard";lr-mame;
"hasamu";lr-fbalpha;
"hatena";lr-fbalpha;
"hatris";lr-mame;
"hattrick";lr-mame;
"hayaosi1";lr-fbalpha;
"hbarrel";lr-fbalpha;
"hcastle";lr-fbalpha;
"hcrash";lr-fbalpha;
"hdrivair";lr-mame;
"headon";lr-mame;
"headon2";lr-mame;
"heartatk";lr-mame;
"heberpop";lr-mame;
"hedpanic";lr-fbalpha;
"heiankyo";lr-mame;
"helifire";lr-mame;
"hellfire";lr-fbalpha;
"hero";lr-fbalpha;
"heuksun";lr-fbalpha;
"hexa";lr-fbalpha;
"hexion";lr-fbalpha;
"hgkairak";lr-fbalpha;
"hharryu";lr-fbalpha;
"higemaru";lr-fbalpha;
"hiimpact";lr-mame;
"himesiki";lr-fbalpha;
"hippodrm";lr-fbalpha;
"histryma";lr-mame;
"hitice";lr-fbalpha;
"hitnmiss";lr-mame;
"hoccer";lr-fbalpha;
"holeland";lr-mame;
"holo";lr-mame;
"homerun";lr-mame;
"honeydol";lr-fbalpha;
"hooku";lr-mame;2003
"hook";lr-mame;2003
"hopmappy";lr-fbalpha;
"hopprobo";lr-fbalpha;
