#  allMAMEremoved 0.01 > 0.196
#
#  All sets removed, from the first version, in alphabetical order
#
#
#  © 2016/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------
| Name Set                                | Removed In      | Note       |  Type             |
| stratvxb                                | 0.053           |            | Machine           |
| sv328n80                                | 0.172           |            | Machine           |
| sv328p80                                | 0.172           |            | Machine           |
| svcpcbj                                 | 0.103u5         |            | Machine           |
| svi603                                  | 0.172           |            | Machine           |
| takoron                                 | 0.131u1         |            | Machine           |
| tenup3                                  | 0.164           |            | Machine           |
| ti_hexbus_chain                         | 0.188           |            | Device            |
| ti_hexbus_slot                          | 0.188           |            | Device            |
| ti_sound_sn76496                        | 0.173           |            | Device            |
| ti_sound_sn94624                        | 0.173           |            | Device            |
| ti99_4qe                                | 0.174           |            | Machine           |
| ti99_bwg_leg                            | 0.163           |            | Device            |
| ti99_fdc_leg                            | 0.163           |            | Device            |
| ti99_grom                               | 0.173           |            | Device            |
| ti99_hfdc_new                           | 0.164           |            | Device            |
| ti99_mapper8                            | 0.152           |            | Device            |
| ti99_video                              | 0.173           |            | Device            |
| ti990/10                                | 0.154           |            | Device            |
| ti998_speech                            | 0.173           |            | Device            |
| tia_video                               | 0.150           |            | Device            |
| tlcs_z80                                | 0.154           |            | Device            |
| tms5100                                 | 0.165           |            | Device            |
| tms9900l                                | 0.153           |            | Device            |
| tms9995l                                | 0.151           |            | Device            |
| trgheart                                | 0.131u1         |            | Machine           |
| trvwzha                                 | 0.148           |            | Machine           |
| trvwzva                                 | 0.148           |            | Machine           |
| ttl74160                                | 0.181           |            | Device            |
| ttl74175                                | 0.181           |            | Device            |
| tv1943                                  | 0.173           |            | Machine           |
| tvablast                                | 0.173           |            | Machine           |
| tvaburn                                 | 0.173           |            | Machine           |
| tvarmedf                                | 0.173           |            | Machine           |
| tvbalstx                                | 0.173           |            | Machine           |
| tvbeball                                | 0.173           |            | Machine           |
| tvbomber                                | 0.173           |            | Machine           |
| tvbrabho                                | 0.173           |            | Machine           |
| tvcolumn                                | 0.173           |            | Machine           |
| tvcoryon                                | 0.173           |            | Machine           |
| tvdensho                                | 0.173           |            | Machine           |
| tvdevilc                                | 0.173           |            | Machine           |
| tvdmoon                                 | 0.173           |            | Machine           |
| tvdodgeb                                | 0.173           |            | Machine           |
| tvdormon                                | 0.173           |            | Machine           |
| tvdrgnst                                | 0.173           |            | Machine           |
| tvdsenpu                                | 0.173           |            | Machine           |
| tvdunexp                                | 0.173           |            | Machine           |
| tveigues                                | 0.173           |            | Machine           |
| tvfblast                                | 0.173           |            | Machine           |
| tvflaptw                                | 0.173           |            | Machine           |
| tvfsoc90                                | 0.173           |            | Machine           |
| tvftenis                                | 0.173           |            | Machine           |
| tvgomola                                | 0.173           |            | Machine           |
| tvgunhed                                | 0.173           |            | Machine           |
| tvhtdaka                                | 0.173           |            | Machine           |
| tvjchan                                 | 0.173           |            | Machine           |
| tvkaikai                                | 0.173           |            | Machine           |
| tvlegaxe                                | 0.173           |            | Machine           |
| tvlqkids                                | 0.173           |            | Machine           |
| tvmrheli                                | 0.173           |            | Machine           |
| tvninjar                                | 0.173           |            | Machine           |
| tvninjas                                | 0.173           |            | Machine           |
| tvopwolf                                | 0.173           |            | Machine           |
| tvovride                                | 0.173           |            | Machine           |
| tvpaclnd                                | 0.173           |            | Machine           |
| tvpcgen2                                | 0.173           |            | Machine           |
| tvpchasr                                | 0.173           |            | Machine           |
| tvpcybrg                                | 0.173           |            | Machine           |
| tvpdrift                                | 0.173           |            | Machine           |
| tvpow11                                 | 0.173           |            | Machine           |
| tvpros91                                | 0.173           |            | Machine           |
| tvpwlg4                                 | 0.173           |            | Machine           |
| tvpzlboy                                | 0.173           |            | Machine           |
| tvraiden                                | 0.173           |            | Machine           |
| tvrs2                                   | 0.173           |            | Machine           |
| tvrtype2                                | 0.173           |            | Machine           |
| tvsci                                   | 0.173           |            | Machine           |
| tvsdarms                                | 0.173           |            | Machine           |
| tvshnobi                                | 0.173           |            | Machine           |
| tvskweek                                | 0.173           |            | Machine           |
| tvslmndr                                | 0.173           |            | Machine           |
| tvsson2                                 | 0.173           |            | Machine           |
| tvsssold                                | 0.173           |            | Machine           |
| tvsvball                                | 0.173           |            | Machine           |
| tvtaisen                                | 0.173           |            | Machine           |
| tvtcrst2                                | 0.173           |            | Machine           |
| tvthbld                                 | 0.173           |            | Machine           |
| tvtonma                                 | 0.173           |            | Machine           |
| tvtsboys                                | 0.173           |            | Machine           |
| tvtsujin                                | 0.173           |            | Machine           |
| tvusapb                                 | 0.173           |            | Machine           |
| tvvolfd                                 | 0.173           |            | Machine           |
| tvwnshot                                | 0.173           |            | Machine           |
| tvwring                                 | 0.173           |            | Machine           |
| tvxvious                                | 0.173           |            | Machine           |
| upd4990a_old                            | 0.151           |            | Device            |
| upd7759                                 | 0.166           |            | Device            |
| v9938_video                             | 0.173           |            | Device            |
| vectrex                                 | 0.033b7         |            | Machine           |
| vectrex                                 | 0.142u4         |            | Machine           |
| vic20_user_port                         | 0.153           |            | Device            |
| vic3                                    | 0.159           |            | Device            |
| vme_p1                                  | 0.182           |            | Device            |
| vme_p1_slot                             | 0.182           |            | Device            |
| votrax                                  | 0.145u6         |            | Machine           |
| vs42006                                 | 0.131u1         |            | Machine           |
| wb35a                                   | 0.149u1         |            | Machine           |
| wd1770_l                                | 0.163           |            | Device            |
| wd1772_l                                | 0.163           |            | Device            |
| wd2797_l                                | 0.163           |            | Device            |
| z80sio                                  | 0.154           |            | Device            |
| z80sio_channel                          | 0.167           |            | Device            |
==============================================================================================

© 2016/2018 AntoPISA
