#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
| bmiidx3                    | bmiidx3a                 | 0.152        |             | Machine           |
| bmiidx6                    | bmiidx6a                 | 0.152        |             | Machine           |
| bnj                        | bnjm                     | 0.148        |             | Machine           |
| bnzabrsj                   | bnzabrosj                | 0.133u1      |             | Machine           |
| bobdolu1                   | bobdolly                 | 0.175        |             | Machine           |
| boblbobl2                  | sboblbobl                | 0.155        |             | Machine           |
| boggy84                    | boggy84b                 | 0.138u3      |             | Machine           |
| bombjac2                   | bombjack2                | 0.133u1      |             | Machine           |
| bombjack                   | bombjac2                 | 0.035b13     |             | Machine           |
| bondwell                   | bw230                    | 0.133        |             | Machine           |
| bonuscrd                   | jollycdd                 | 0.100u4      |             | Machine           |
| bonzeado                   | bonzeadvo                | 0.133u1      |             | Machine           |
| bonzeadu                   | bonzeadvu                | 0.133u1      |             | Machine           |
| boogwina                   | boogwinga                | 0.133u1      |             | Machine           |
| boomrana                   | boomranga                | 0.131u3      |             | Machine           |
| boot_ct2k3sa_cart          | neocart_ct2k3sa          | 0.174        |             | Device            |
| boot_ct2k3sa_cart          | neocart_ct2k3sa          | 0.174        |             | Device            |
| boot_ct2k3sp_cart          | neocart_ct2k3sp          | 0.174        |             | Device            |
| boot_ct2k3sp_cart          | neocart_ct2k3sp          | 0.174        |             | Device            |
| boot_cthd2003_cart         | neocart_ct2k3            | 0.174        |             | Device            |
| boot_cthd2003_cart         | neocart_ct2k3            | 0.174        |             | Device            |
| boot_garoubl_cart          | neocart_garoubl          | 0.174        |             | Device            |
