#  addMAME 0.01 > 0.196
#
#  © 2014/2018 AntoPISA of www.progettosnaps.net
#
#  Total sets: 35,074
#
#
-----------------------------------------------------------
| S e t                     | Added in version | T y p e  |
| ad5monopk                 | 0.147u4          | MAME     |
| ad5mowow                  | 0.147u4          | MAME     |
| ad5mowowa                 | 0.147u4          | MAME     |
| ad5mowowb                 | 0.147u4          | MAME     |
| ad5mowowc                 | 0.147u4          | MAME     |
| ad5mowowd                 | 0.147u4          | MAME     |
| ad5mowowe                 | 0.147u4          | MAME     |
| ad5mowowf                 | 0.147u4          | MAME     |
| ad5mowowg                 | 0.147u4          | MAME     |
| ad5mowowh                 | 0.147u4          | MAME     |
| ad5mowowi                 | 0.147u4          | MAME     |
| ad5mowowj                 | 0.143u4          | MAME     |
| ad5mowowk                 | 0.147u4          | MAME     |
| ad5mowowl                 | 0.147u4          | MAME     |
| ad5mowowm                 | 0.147u4          | MAME     |
| ad5mr2r                   | 0.143u4          | MAME     |
| ad5mr2ra                  | 0.147u4          | MAME     |
| ad5mr2rb                  | 0.147u4          | MAME     |
| ad5mr2rc                  | 0.147u4          | MAME     |
| ad5mr2rd                  | 0.147u4          | MAME     |
| ad5mr2re                  | 0.147u4          | MAME     |
| ad5mr2rf                  | 0.147u4          | MAME     |
| ad5mr2rg                  | 0.147u4          | MAME     |
| ad5mr2rh                  | 0.147u4          | MAME     |
| ad5mww                    | 0.143u4          | MAME     |
| ad5mwwa                   | 0.147u4          | MAME     |
| ad5pking                  | 0.143u4          | MAME     |
| ad5pkinga                 | 0.147u4          | MAME     |
| ad5pp                     | 0.143u4          | MAME     |
| ad5ppa                    | 0.147u4          | MAME     |
| ad5ppb                    | 0.147u4          | MAME     |
| ad5ppbtb                  | 0.143u4          | MAME     |
| ad5ppbtba                 | 0.147u4          | MAME     |
| ad5ppbtbb                 | 0.147u4          | MAME     |
| ad5ppbtbc                 | 0.147u4          | MAME     |
| ad5ppc                    | 0.147u4          | MAME     |
| ad5ppd                    | 0.147u4          | MAME     |
| ad5ppe                    | 0.147u4          | MAME     |
| ad5ppf                    | 0.147u4          | MAME     |
| ad5ppg                    | 0.147u4          | MAME     |
| ad5pph                    | 0.147u4          | MAME     |
| ad5ppi                    | 0.147u4          | MAME     |
| ad5ppj                    | 0.147u4          | MAME     |
| ad5rapid                  | 0.143u4          | MAME     |
| ad5rapida                 | 0.147u4          | MAME     |
| ad5rcash                  | 0.143u4          | MAME     |
| ad5rcasha                 | 0.147u4          | MAME     |
| ad5rroul                  | 0.143u4          | MAME     |
| ad5rroula                 | 0.147u4          | MAME     |
| ad5rroulb                 | 0.147u4          | MAME     |
| ad5rroulc                 | 0.147u4          | MAME     |
| ad5rsclb                  | 0.143u4          | MAME     |
| ad5rsclba                 | 0.147u4          | MAME     |
| ad5rsclbb                 | 0.147u4          | MAME     |
| ad5rsclbc                 | 0.147u4          | MAME     |
| ad5rsclbd                 | 0.147u4          | MAME     |
| ad5rsclbe                 | 0.147u4          | MAME     |
| ad5rsclbf                 | 0.147u4          | MAME     |
| ad5rsclbg                 | 0.147u4          | MAME     |
| ad5rsclbh                 | 0.147u4          | MAME     |
| ad5rsclbi                 | 0.147u4          | MAME     |
| ad5rsclbj                 | 0.147u4          | MAME     |
| ad5rsnw                   | 0.143u4          | MAME     |
| ad5rsnwa                  | 0.147u4          | MAME     |
| ad5rsnwb                  | 0.147u4          | MAME     |
| ad5rsnwc                  | 0.147u4          | MAME     |
| ad5rspin                  | 0.143u4          | MAME     |
| ad5rspinb                 | 0.147u4          | MAME     |
| ad5rspinc                 | 0.147u4          | MAME     |
