name;bios;description;is_parent;manufacturer;sample;year
pkscram;-;PK Scramble;NO;Cosmo Electronics Corporation;-;1993;
poknight;neogeo;Poker Night;NO;Jeff Kurtz;-;199?;
pokonyan;-;Pokonyan (Japan 940322);NO;Capcom;-;1994;
poosho;-;Poosho Poosho;NO;F2 System;-;1999;
popbingo;-;Pop Bingo;NO;Dooyong;-;1996;
popspops;-;Pop's Pop's;NO;Afega;-;1999;
ppmast93;-;Ping Pong Masters '93;NO;Electronic Devices S.R.L.;-;1993;
progolf;-;18 Holes Pro Golf (set 1);NO;Data East Corporation;-;1981;
promutrv;-;Progressive Music Trivia (Question set 1);NO;Enerdyne Technologies Inc.;-;1985;
puyo;-;Puyo Puyo (World);NO;Compile / Sega;-;1992;
puzzlekg;-;Puzzle King (Dance & Puzzle);NO;Eolith;-;1998;
puzzli2;pgm;Puzzli 2 (V100, China);NO;IGS;-;1999;
puzzlove;-;PuzzLove;NO;Para;-;1994;
py2k2;pgm;Photo Y2K 2 (VM101XX, China);NO;IGS;-;2001;
qtono2j;-;Quiz Tonosama no Yabou 2 Zenkoku-ban (tonosama 2 950123 Japan);NO;Capcom;-;1995;
quizo;-;Quiz Olympic (set 1);NO;Seoul Coin Corp.;-;1985;
r2dx_v33;-;Raiden II New / Raiden DX (newer V33 PCB) (Raiden DX EEPROM);NO;Seibu Kaihatsu;-;1996;
raccoon;-;Raccoon World;NO;Eolith;-;1998;
rachero;-;Racing Hero (FD1094 317-0144);NO;Sega;-;1989;
racknrol;-;Rack + Roll;NO;Status (Shinkai License);-;1986;
raidendx;-;Raiden DX (UK);NO;Seibu Kaihatsu;-;1994;
rbisland;cchip;Rainbow Islands (new version);NO;Taito Corporation;-;1987;
rbislande;cchip;Rainbow Islands (Extra);NO;Taito Corporation;-;1988;
rchase;-;Rail Chase (World);NO;Sega;-;1991;
rdft;-;Raiden Fighters (Germany);NO;Seibu Kaihatsu (Tuning license);-;1996;
