name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
batriderja;Armed Police Batrider - A Version (Japan) (Mon Dec 22 1997);1998;Raizing / 8ing;NO;batrider;YES;batrider;-
batriderk;Armed Police Batrider (Korea) (Fri Feb 13 1998);1998;Raizing / 8ing;NO;batrider;YES;batrider;-
batridert;Armed Police Batrider - A Version (Taiwan) (Mon Dec 22 1997);1998;Raizing / 8ing;NO;batrider;YES;batrider;-
batrideru;Armed Police Batrider (U.S.A.) (Fri Feb 13 1998);1998;Raizing / 8ing;NO;batrider;YES;batrider;-
batsuguna;Batsugun (set 2);1993;Toaplan;NO;batsugun;YES;batsugun;-
batsugunb;Batsugun (Korean PCB);1993;Toaplan;NO;batsugun;YES;batsugun;-
batsugunsp;Batsugun (Special Ver.);1993;Toaplan;NO;batsugun;YES;batsugun;-
battlane2;Battle Lane! Vol. 5 (set 2);1986;Technos Japan (Taito license);NO;battlane;YES;battlane;-
battlane3;Battle Lane! Vol. 5 (set 3);1986;Technos Japan (Taito license);NO;battlane;YES;battlane;-
battlntsa;Battlantis (program code F);1987;Konami;NO;battlnts;YES;battlnts;-
battlntsj;Battlantis (Japan, program code E);1987;Konami;NO;battlnts;YES;battlnts;-
bayroute1;Bay Route (set 1, US, unprotected);1989;Sunsoft / Sega;NO;bayroute;YES;bayroute;-
bayrouted;Bay Route (set 3, World, FD1094 317-0116 decrypted) [Bootleg];1989;Sunsoft / Sega;NO;bayroute;YES;bayroute;-
bayroutej;Bay Route (set 2, Japan, FD1094 317-0115);1989;Sunsoft / Sega;NO;bayroute;YES;bayroute;-
bayroutejd;Bay Route (set 2, Japan, FD1094 317-0115 decrypted) [Bootleg];1989;Sunsoft / Sega;NO;bayroute;YES;bayroute;-
bbakraidc;Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999);1999;Eighting;NO;bbakraid;YES;bbakraid;-
bbakraidj;Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999);1999;Eighting;NO;bbakraid;YES;bbakraid;-
bbakraidja;Battle Bakraid (Japan) (Wed Apr 7 1999);1999;Eighting;NO;bbakraid;YES;bbakraid;-
bballs;Bouncing Balls;1991;Comad;YES;-;NO;-;-
bballsa;Bouncing Balls (Adult);1991;Comad;NO;bballs;YES;bballs;-
bbmanwja;Bomber Man World (Japan, revised sound hardware);1992;Irem;NO;bbmanw;YES;bbmanw;-
bbredux;Bobble Bobble ('bootleg redux' hack for Bobble Bobble PCB) [Bootleg];2013;bootleg (Punji);NO;bublbobl;YES;bublbobl;-
bbustersj;Beast Busters (Japan, Version 2);1989;SNK;NO;bbusters;YES;bbusters;-
bbustersu;Beast Busters (US, Version 3);1989;SNK;NO;bbusters;YES;bbusters;-
bbustersua;Beast Busters (US, Version 2);1989;SNK;NO;bbusters;YES;bbusters;-
bcstrya;B.C. Story (set 2);1997;SemiCom;NO;bcstry;YES;bcstry;-
beast;Shadow of the Beast (Neo Geo demo) [Demo];????;Jeff Kurtz;YES;neogeo;NO;-;-
beastfp;Beastie Feastie;1984;Epos Corporation;NO;suprglob;YES;suprglob;-
berabohmb;Beraboh Man (Japan, Rev B);1988;Namco;NO;berabohm;YES;berabohm;-
berlwallk;The Berlin Wall (Korea);1991;Kaneko (Inter license);NO;berlwall;YES;berlwall;-
berlwallt;The Berlin Wall (bootleg ?) [Bootleg];1991;Kaneko;NO;berlwall;YES;berlwall;-
bermudata;Bermuda Triangle (World Wars) (US);1987;SNK;NO;worldwar;YES;worldwar;-
bermudatj;Bermuda Triangle (Japan);1987;SNK;NO;bermudat;YES;bermudat;-
bestbest;Best Of Best;1994;SunA;YES;-;NO;-;-
bestleag;Best League (bootleg of Big Striker, Italian Serie A) [Bootleg];1993;bootleg;NO;bigstrik;YES;bigstrik;-
bestleaw;Best League (bootleg of Big Striker, World Cup) [Bootleg];1993;bootleg;NO;bigstrik;YES;bigstrik;-
bestri;Bestri (Korea);1998;F2 System;YES;-;NO;-;-
bgaregga;Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996);1996;Raizing / 8ing;YES;-;NO;-;-
bgareggabl;1945 Part 2 (Chinese hack of Battle Garegga) [Hack];1996;hack;NO;bgaregga;YES;bgaregga;-
bgareggabla;Lei Shen Zhuan Thunder Deity Biography (Chinese hack of Battle Garegga) [Hack];1996;hack;NO;bgaregga;YES;bgaregga;-
bgareggacn;Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996);1996;Raizing / 8ing;NO;bgaregga;YES;bgaregga;-
bgareggahk;Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996);1996;Raizing / 8ing;NO;bgaregga;YES;bgaregga;-
bgaregganv;Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996);1996;Raizing / 8ing;NO;bgaregga;YES;bgaregga;-
bgareggat2;Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996);1996;Raizing / 8ing;NO;bgaregga;YES;bgaregga;-
bgareggatw;Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996);1996;Raizing / 8ing;NO;bgaregga;YES;bgaregga;-
bgareggaz;Battle Garegga Zakk version (Europe / USA / Japan / Asia) (Sat Feb 3 1996);2008;Raizing / 8ing;NO;bgaregga;YES;bgaregga;-
bigbucks;Big Bucks;1986;Dynasoft Inc.;YES;-;NO;-;-
bigfghtr;Tatakae! Big Fighter (Japan);1989;Nichibutsu;NO;skyrobo;YES;skyrobo;-
bigstrkba;Big Striker (bootleg w/Italian teams) [Bootleg];1992;bootleg;NO;bigstrik;YES;bigstrik;-
bigtwin;Big Twin;1995;Playmark;YES;-;NO;-;-
bikkuric;Bikkuri Card (Japan);1987;Peni Soft;YES;-;NO;-;-
biomtoya;Biomechanical Toy (Ver. 1.0.1884);1995;Gaelco;NO;biomtoy;YES;biomtoy;-
bionicc1;Bionic Commando (US set 1);1987;Capcom;NO;bionicc;YES;bionicc;-
bioniccbl;Bionic Commandos (bootleg, set 1) [Bootleg];1987;bootleg;NO;bionicc;YES;bionicc;-
bioniccbl2;Bionic Commandos (bootleg, set 2);1987;bootleg;NO;bionicc;YES;bionicc;-
birdiy;Birdiy;1982;Mama Top;YES;-;NO;-;-
bjtwina;Bombjack Twin (set 2);1993;NMK;NO;bjtwin;YES;bjtwin;-
bladestle;Blades of Steel (version E);1987;Konami;NO;bladestl;YES;bladestl;-
bladestll;Blades of Steel (version L);1987;Konami;NO;bladestl;YES;bladestl;-
blandia;Blandia;1992;Allumer;YES;-;NO;-;-
blandiap;Blandia (prototype);1992;Allumer;NO;blandia;YES;blandia;-
blkdrgonb;Black Dragon (bootleg);1987;bootleg;NO;blktiger;YES;blktiger;-
blkheartj;Black Heart (Japan);1991;UPL;NO;blkheart;YES;blkheart;-
blktigera;Black Tiger (older);1987;Capcom;NO;blktiger;YES;blktiger;-
blktigerb1;Black Tiger (bootleg set 1);1987;bootleg;NO;blktiger;YES;blktiger;-
blktigerb2;Black Tiger (bootleg set 2);1987;Capcom;NO;blktiger;YES;blktiger;-
blktigerb3;Black Tiger / Black Dragon (mixed bootleg?);1987;Capcom;NO;blktiger;YES;blktiger;-
blmbycaru;Blomby Car (not encrypted);1994;ABM & Gecas;NO;blmbycar;YES;blmbycar;-
blockgal;Block Gal (MC-8123B, 317-0029);1987;Sega / Vic Tokai;YES;-;NO;-;-
blockout2;Block Out (set 2);1989;Technos + California Dreams;NO;blockout;YES;blockout;-
blockoutj;Block Out (Japan);1989;Technos + California Dreams;NO;blockout;YES;blockout;-
blockr1;Block Block (World 911106 Joystick);1991;Capcom;NO;block;YES;block;-
blockr2;Block Block (World 910910);1991;Capcom;NO;block;YES;block;-
bloodbroa;Blood Bros. (set 2);1990;Tad;NO;bloodbro;YES;bloodbro;-
